   Meter ID  = 7808813 
   Pulse output  = 1 (12) 
   Type  = Water (0) 
   Current Status  = OK (0) 
   Readings received  = 30 
   Time since last reading  = 36 minutes
   Time between readings  = 1440 minutes
   Logged Readings  =  
      Read 1 = 4145	Time: 4/4/2016 10:49 
      Read 2 = 4145	Time: 4/3/2016 10:49 
      Read 3 = 4145	Time: 4/2/2016 10:49 
      Read 4 = 4145	Time: 4/1/2016 10:49 
      Read 5 = 4145	Time: 3/31/2016 10:49 
      Read 6 = 4145	Time: 3/30/2016 10:49 
      Read 7 = 4145	Time: 3/29/2016 10:49 
      Read 8 = 4145	Time: 3/28/2016 10:49 
      Read 9 = 4145	Time: 3/27/2016 10:49 
      Read 10 = 4145	Time: 3/26/2016 10:49 
      Read 11 = 4145	Time: 3/25/2016 10:49 
      Read 12 = 4145	Time: 3/24/2016 10:49 
      Read 13 = 4145	Time: 3/23/2016 10:49 
      Read 14 = 4133	Time: 3/22/2016 10:49 
      Read 15 = 4132	Time: 3/21/2016 10:49 
      Read 16 = 4128	Time: 3/20/2016 10:49 
      Read 17 = 4122	Time: 3/19/2016 10:49 
      Read 18 = 4120	Time: 3/18/2016 10:49 
      Read 19 = 4114	Time: 3/17/2016 10:49 
      Read 20 = 4103	Time: 3/16/2016 10:49 
      Read 21 = 4101	Time: 3/15/2016 10:49 
      Read 22 = 4096	Time: 3/14/2016 10:49 
      Read 23 = 4094	Time: 3/13/2016 10:49 
      Read 24 = 4086	Time: 3/12/2016 10:49 
      Read 25 = 4082	Time: 3/11/2016 10:49 
      Read 26 = 4078	Time: 3/10/2016 10:49 
      Read 27 = 4073	Time: 3/9/2016 10:49 
      Read 28 = 4062	Time: 3/8/2016 10:49 
      Read 29 = 4058	Time: 3/7/2016 10:49 
      Read 30 = 4055	Time: 3/6/2016 10:49 
