   Meter ID  = 10091323 
   Pulse output  = 1 (12) 
   Type  = Water (0) 
   Current Status  = OK (0) 
   Readings received  = 30 
   Time since last reading  = 46 minutes
   Time between readings  = 1440 minutes
   Logged Readings  =  
      Read 1 = 1554	Time: 4/4/2016 10:07 
      Read 2 = 1497	Time: 4/3/2016 10:07 
      Read 3 = 1439	Time: 4/2/2016 10:07 
      Read 4 = 1390	Time: 4/1/2016 10:07 
      Read 5 = 1330	Time: 3/31/2016 10:07 
      Read 6 = 1313	Time: 3/30/2016 10:07 
      Read 7 = 1280	Time: 3/29/2016 10:07 
      Read 8 = 1240	Time: 3/28/2016 10:07 
      Read 9 = 1207	Time: 3/27/2016 10:07 
      Read 10 = 1178	Time: 3/26/2016 10:07 
      Read 11 = 1147	Time: 3/25/2016 10:07 
      Read 12 = 1108	Time: 3/24/2016 10:07 
      Read 13 = 1081	Time: 3/23/2016 10:07 
      Read 14 = 1061	Time: 3/22/2016 10:07 
      Read 15 = 1061	Time: 3/21/2016 10:07 
      Read 16 = 1054	Time: 3/20/2016 10:07 
      Read 17 = 1010	Time: 3/19/2016 10:07 
      Read 18 = 988	Time: 3/18/2016 10:07 
      Read 19 = 958	Time: 3/17/2016 10:07 
      Read 20 = 927	Time: 3/16/2016 10:07 
      Read 21 = 900	Time: 3/15/2016 10:07 
      Read 22 = 869	Time: 3/14/2016 10:07 
      Read 23 = 841	Time: 3/13/2016 10:07 
      Read 24 = 793	Time: 3/12/2016 10:07 
      Read 25 = 780	Time: 3/11/2016 10:07 
      Read 26 = 756	Time: 3/10/2016 10:07 
      Read 27 = 730	Time: 3/9/2016 10:07 
      Read 28 = 701	Time: 3/8/2016 10:07 
      Read 29 = 686	Time: 3/7/2016 10:07 
      Read 30 = 653	Time: 3/6/2016 10:07 

