   Meter ID  = 7803846 
   Pulse output  = 1 (12) 
   Type  = Water (0) 
   Current Status  = OK (0) 
   Readings received  = 30 
   Time since last reading  = 30 minutes
   Time between readings  = 1440 minutes
   Logged Readings  =  
      Read 1 = 7048	Time: 4/4/2016 10:46 
      Read 2 = 7042	Time: 4/3/2016 10:46 
      Read 3 = 7037	Time: 4/2/2016 10:46 
      Read 4 = 7033	Time: 4/1/2016 10:46 
      Read 5 = 7026	Time: 3/31/2016 10:46 
      Read 6 = 7021	Time: 3/30/2016 10:46 
      Read 7 = 7014	Time: 3/29/2016 10:46 
      Read 8 = 7008	Time: 3/28/2016 10:46 
      Read 9 = 7001	Time: 3/27/2016 10:46 
      Read 10 = 6993	Time: 3/26/2016 10:46 
      Read 11 = 6987	Time: 3/25/2016 10:46 
      Read 12 = 6980	Time: 3/24/2016 10:46 
      Read 13 = 6972	Time: 3/23/2016 10:46 
      Read 14 = 6967	Time: 3/22/2016 10:46 
      Read 15 = 6958	Time: 3/21/2016 10:46 
      Read 16 = 6952	Time: 3/20/2016 10:46 
      Read 17 = 6945	Time: 3/19/2016 10:46 
      Read 18 = 6936	Time: 3/18/2016 10:46 
      Read 19 = 6927	Time: 3/17/2016 10:46 
      Read 20 = 6922	Time: 3/16/2016 10:46 
      Read 21 = 6914	Time: 3/15/2016 10:46 
      Read 22 = 6911	Time: 3/14/2016 10:46 
      Read 23 = 6902	Time: 3/13/2016 10:46 
      Read 24 = 6898	Time: 3/12/2016 10:46 
      Read 25 = 6893	Time: 3/11/2016 10:46 
      Read 26 = 6884	Time: 3/10/2016 10:46 
      Read 27 = 6877	Time: 3/9/2016 10:46 
      Read 28 = 6868	Time: 3/8/2016 10:46 
      Read 29 = 6862	Time: 3/7/2016 10:46 
      Read 30 = 6852	Time: 3/6/2016 10:46 

