   Meter ID  = 7822287 
   Pulse output  = 1 (12) 
   Type  = Water (0) 
   Current Status  = OK (0) 
   Readings received  = 30 
   Time since last reading  = 18 minutes
   Time between readings  = 1440 minutes
   Logged Readings  =  
      Read 1 = 8851	Time: 4/4/2016 10:55 
      Read 2 = 8842	Time: 4/3/2016 10:55 
      Read 3 = 8838	Time: 4/2/2016 10:55 
      Read 4 = 8833	Time: 4/1/2016 10:55 
      Read 5 = 8828	Time: 3/31/2016 10:55 
      Read 6 = 8825	Time: 3/30/2016 10:55 
      Read 7 = 8823	Time: 3/29/2016 10:55 
      Read 8 = 8815	Time: 3/28/2016 10:55 
      Read 9 = 8810	Time: 3/27/2016 10:55 
      Read 10 = 8808	Time: 3/26/2016 10:55 
      Read 11 = 8802	Time: 3/25/2016 10:55 
      Read 12 = 8799	Time: 3/24/2016 10:55 
      Read 13 = 8795	Time: 3/23/2016 10:55 
      Read 14 = 8792	Time: 3/22/2016 10:55 
      Read 15 = 8790	Time: 3/21/2016 10:55 
      Read 16 = 8787	Time: 3/20/2016 10:55 
      Read 17 = 8785	Time: 3/19/2016 10:55 
      Read 18 = 8770	Time: 3/18/2016 10:55 
      Read 19 = 8768	Time: 3/17/2016 10:55 
      Read 20 = 8766	Time: 3/16/2016 10:55 
      Read 21 = 8763	Time: 3/15/2016 10:55 
      Read 22 = 8760	Time: 3/14/2016 10:55 
      Read 23 = 8754	Time: 3/13/2016 10:55 
      Read 24 = 8754	Time: 3/12/2016 10:55 
      Read 25 = 8754	Time: 3/11/2016 10:55 
      Read 26 = 8751	Time: 3/10/2016 10:55 
      Read 27 = 8748	Time: 3/9/2016 10:55 
      Read 28 = 8743	Time: 3/8/2016 10:55 
      Read 29 = 8738	Time: 3/7/2016 10:55 
      Read 30 = 8733	Time: 3/6/2016 10:55 

