   Meter ID  = 10215378 
   Pulse output  = 1 (12) 
   Type  = Water (0) 
   Current Status  = OK (0) 
   Readings received  = 30 
   Time since last reading  = 25 minutes
   Time between readings  = 1440 minutes
   Logged Readings  =  
      Read 1 = 848	Time: 4/4/2016 10:34 
      Read 2 = 839	Time: 4/3/2016 10:34 
      Read 3 = 830	Time: 4/2/2016 10:34 
      Read 4 = 825	Time: 4/1/2016 10:34 
      Read 5 = 821	Time: 3/31/2016 10:34 
      Read 6 = 810	Time: 3/30/2016 10:34 
      Read 7 = 804	Time: 3/29/2016 10:34 
      Read 8 = 797	Time: 3/28/2016 10:34 
      Read 9 = 788	Time: 3/27/2016 10:34 
      Read 10 = 779	Time: 3/26/2016 10:34 
      Read 11 = 770	Time: 3/25/2016 10:34 
      Read 12 = 757	Time: 3/24/2016 10:34 
      Read 13 = 750	Time: 3/23/2016 10:34 
      Read 14 = 742	Time: 3/22/2016 10:34 
      Read 15 = 734	Time: 3/21/2016 10:34 
      Read 16 = 722	Time: 3/20/2016 10:34 
      Read 17 = 712	Time: 3/19/2016 10:34 
      Read 18 = 707	Time: 3/18/2016 10:34 
      Read 19 = 696	Time: 3/17/2016 10:34 
      Read 20 = 690	Time: 3/16/2016 10:34 
      Read 21 = 681	Time: 3/15/2016 10:34 
      Read 22 = 672	Time: 3/14/2016 10:34 
      Read 23 = 660	Time: 3/13/2016 10:34 
      Read 24 = 651	Time: 3/12/2016 10:34 
      Read 25 = 641	Time: 3/11/2016 10:34 
      Read 26 = 631	Time: 3/10/2016 10:34 
      Read 27 = 621	Time: 3/9/2016 10:34 
      Read 28 = 614	Time: 3/8/2016 10:34 
      Read 29 = 605	Time: 3/7/2016 10:34 
      Read 30 = 593	Time: 3/6/2016 10:34 

