   Meter ID  = 10607999 
   Pulse output  = 1 (12) 
   Type  = Water (0) 
   Current Status  = OK (0) 
   Readings received  = 30 
   Time since last reading  = 17 minutes
   Time between readings  = 1440 minutes
   Logged Readings  =  
      Read 1 = 2368	Time: 4/4/2016 10:50 
      Read 2 = 2355	Time: 4/3/2016 10:50 
      Read 3 = 2335	Time: 4/2/2016 10:50 
      Read 4 = 2321	Time: 4/1/2016 10:50 
      Read 5 = 2305	Time: 3/31/2016 10:50 
      Read 6 = 2285	Time: 3/30/2016 10:50 
      Read 7 = 2260	Time: 3/29/2016 10:50 
      Read 8 = 2246	Time: 3/28/2016 10:50 
      Read 9 = 2226	Time: 3/27/2016 10:50 
      Read 10 = 2203	Time: 3/26/2016 10:50 
      Read 11 = 2180	Time: 3/25/2016 10:50 
      Read 12 = 2165	Time: 3/24/2016 10:50 
      Read 13 = 2148	Time: 3/23/2016 10:50 
      Read 14 = 2123	Time: 3/22/2016 10:50 
      Read 15 = 2095	Time: 3/21/2016 10:50 
      Read 16 = 2082	Time: 3/20/2016 10:50 
      Read 17 = 2064	Time: 3/19/2016 10:50 
      Read 18 = 2050	Time: 3/18/2016 10:50 
      Read 19 = 2036	Time: 3/17/2016 10:50 
      Read 20 = 2014	Time: 3/16/2016 10:50 
      Read 21 = 1998	Time: 3/15/2016 10:50 
      Read 22 = 1979	Time: 3/14/2016 10:50 
      Read 23 = 1969	Time: 3/13/2016 10:50 
      Read 24 = 1953	Time: 3/12/2016 10:50 
      Read 25 = 1929	Time: 3/11/2016 10:50 
      Read 26 = 1898	Time: 3/10/2016 10:50 
      Read 27 = 1877	Time: 3/9/2016 10:50 
      Read 28 = 1863	Time: 3/8/2016 10:50 
      Read 29 = 1847	Time: 3/7/2016 10:50 
      Read 30 = 1833	Time: 3/6/2016 10:50 

