   Meter ID  = 7917817 
   Pulse output  = 1 (12) 
   Type  = Water (0) 
   Current Status  = OK (0) 
   Readings received  = 30 
   Time since last reading  = 16 minutes
   Time between readings  = 1440 minutes
   Logged Readings  =  
      Read 1 = 7276	Time: 4/4/2016 10:55 
      Read 2 = 7275	Time: 4/3/2016 10:55 
      Read 3 = 7272	Time: 4/2/2016 10:55 
      Read 4 = 7266	Time: 4/1/2016 10:55 
      Read 5 = 7265	Time: 3/31/2016 10:55 
      Read 6 = 7262	Time: 3/30/2016 10:55 
      Read 7 = 7259	Time: 3/29/2016 10:55 
      Read 8 = 7257	Time: 3/28/2016 10:55 
      Read 9 = 7248	Time: 3/27/2016 10:55 
      Read 10 = 7242	Time: 3/26/2016 10:55 
      Read 11 = 7235	Time: 3/25/2016 10:55 
      Read 12 = 7233	Time: 3/24/2016 10:55 
      Read 13 = 7229	Time: 3/23/2016 10:55 
      Read 14 = 7226	Time: 3/22/2016 10:55 
      Read 15 = 7218	Time: 3/21/2016 10:55 
      Read 16 = 7214	Time: 3/20/2016 10:55 
      Read 17 = 7212	Time: 3/19/2016 10:55 
      Read 18 = 7210	Time: 3/18/2016 10:55 
      Read 19 = 7200	Time: 3/17/2016 10:55 
      Read 20 = 7198	Time: 3/16/2016 10:55 
      Read 21 = 7190	Time: 3/15/2016 10:55 
      Read 22 = 7184	Time: 3/14/2016 10:55 
      Read 23 = 7181	Time: 3/13/2016 10:55 
      Read 24 = 7169	Time: 3/12/2016 10:55 
      Read 25 = 7168	Time: 3/11/2016 10:55 
      Read 26 = 7162	Time: 3/10/2016 10:55 
      Read 27 = 7153	Time: 3/9/2016 10:55 
      Read 28 = 7146	Time: 3/8/2016 10:55 
      Read 29 = 7138	Time: 3/7/2016 10:55 
      Read 30 = 7133	Time: 3/6/2016 10:55 

