   Meter ID  = 7030264 
   Pulse output  = 1 (12) 
   Type  = Water (0) 
   Current Status  = OK (0) 
   Readings received  = 30 
   Time since last reading  = 0 minutes
   Time between readings  = 1440 minutes
   Logged Readings  =  
      Read 1 = 7634	Time: 4/4/2016 11:25 
      Read 2 = 7632	Time: 4/3/2016 11:25 
      Read 3 = 7627	Time: 4/2/2016 11:25 
      Read 4 = 7621	Time: 4/1/2016 11:25 
      Read 5 = 7621	Time: 3/31/2016 11:25 
      Read 6 = 7617	Time: 3/30/2016 11:25 
      Read 7 = 7613	Time: 3/29/2016 11:25 
      Read 8 = 7611	Time: 3/28/2016 11:25 
      Read 9 = 7609	Time: 3/27/2016 11:25 
      Read 10 = 7588	Time: 3/26/2016 11:25 
      Read 11 = 7581	Time: 3/25/2016 11:25 
      Read 12 = 7570	Time: 3/24/2016 11:25 
      Read 13 = 7567	Time: 3/23/2016 11:25 
      Read 14 = 7566	Time: 3/22/2016 11:25 
      Read 15 = 7559	Time: 3/21/2016 11:25 
      Read 16 = 7556	Time: 3/20/2016 11:25 
      Read 17 = 7550	Time: 3/19/2016 11:25 
      Read 18 = 7547	Time: 3/18/2016 11:25 
      Read 19 = 7546	Time: 3/17/2016 11:25 
      Read 20 = 7542	Time: 3/16/2016 11:25 
      Read 21 = 7539	Time: 3/15/2016 11:25 
      Read 22 = 7536	Time: 3/14/2016 11:25 
      Read 23 = 7533	Time: 3/13/2016 11:25 
      Read 24 = 7522	Time: 3/12/2016 11:25 
      Read 25 = 7520	Time: 3/11/2016 11:25 
      Read 26 = 7519	Time: 3/10/2016 11:25 
      Read 27 = 7514	Time: 3/9/2016 11:25 
      Read 28 = 7510	Time: 3/8/2016 11:25 
      Read 29 = 7508	Time: 3/7/2016 11:25 
      Read 30 = 7504	Time: 3/6/2016 11:25 
