   Meter ID  = 11602995
   Pulse output  = 1 (12)
   Type  = Water (0)
   Current Status  = OK (0)
   Readings received  = 173
   Time since last reading  = 446 minutes
   Time between readings  = 1440 minutes
   Logged Readings  =  
      Read 120 = 24681	Time: 9/3/2016 2:36
      Read 121 = 24666	Time: 9/2/2016 2:36
      Read 122 = 24645	Time: 9/1/2016 2:36
      Read 123 = 24635	Time: 8/31/2016 2:36
      Read 124 = 24632	Time: 8/30/2016 2:36
      Read 125 = 24621	Time: 8/29/2016 2:36
      Read 126 = 24615	Time: 8/28/2016 2:36
      Read 127 = 24599	Time: 8/27/2016 2:36
      Read 128 = 24587	Time: 8/26/2016 2:36
      Read 129 = 24569	Time: 8/25/2016 2:36
      Read 130 = 24547	Time: 8/24/2016 2:36
      Read 131 = 24535	Time: 8/23/2016 2:36
      Read 132 = 24523	Time: 8/22/2016 2:36
      Read 133 = 24517	Time: 8/21/2016 2:36
      Read 134 = 24506	Time: 8/20/2016 2:36
      Read 135 = 24483	Time: 8/19/2016 2:36
      Read 136 = 24481	Time: 8/18/2016 2:36
      Read 137 = 24465	Time: 8/17/2016 2:36
      Read 138 = 24446	Time: 8/16/2016 2:36
      Read 139 = 24427	Time: 8/15/2016 2:36
      Read 140 = 24399	Time: 8/14/2016 2:36
      Read 141 = 24387	Time: 8/13/2016 2:36
      Read 142 = 24382	Time: 8/12/2016 2:36
      Read 143 = 24361	Time: 8/11/2016 2:36
      Read 144 = 24345	Time: 8/10/2016 2:36
      Read 145 = 24317	Time: 8/9/2016 2:36
      Read 146 = 24312	Time: 8/8/2016 2:36
      Read 147 = 24308	Time: 8/7/2016 2:36
      Read 148 = 24295	Time: 8/6/2016 2:36
      Read 149 = 24269	Time: 8/5/2016 2:36
      Read 150 = 24265	Time: 8/4/2016 2:36
      Read 151 = 24261	Time: 8/3/2016 2:36
      Read 152 = 24237	Time: 8/2/2016 2:36
      Read 153 = 24226	Time: 8/1/2016 2:36
      Read 154 = 24209	Time: 7/31/2016 2:36
      Read 155 = 24207	Time: 7/30/2016 2:36
      Read 156 = 24190	Time: 7/29/2016 2:36
      Read 157 = 24178	Time: 7/28/2016 2:36
      Read 158 = 24149	Time: 7/27/2016 2:36
      Read 159 = 24120	Time: 7/26/2016 2:36
      Read 160 = 24103	Time: 7/25/2016 2:36
      Read 161 = 24090	Time: 7/24/2016 2:36
      Read 162 = 24063	Time: 7/23/2016 2:36
      Read 163 = 24041	Time: 7/22/2016 2:36
      Read 164 = 24024	Time: 7/21/2016 2:36
      Read 165 = 24024	Time: 7/20/2016 2:36
      Read 166 = 24003	Time: 7/19/2016 2:36
      Read 167 = 23998	Time: 7/18/2016 2:36
      Read 168 = 23987	Time: 7/17/2016 2:36
      Read 169 = 23977	Time: 7/16/2016 2:36
      Read 170 = 23955	Time: 7/15/2016 2:36
      Read 171 = 23945	Time: 7/14/2016 2:36
      Read 172 = 23918	Time: 7/13/2016 2:36
