   Meter ID  = 7813517 
   Pulse output  = 1 (12) 
   Type  = Water (0) 
   Current Status  = OK (0) 
   Readings received  = 30 
   Time since last reading  = 36 minutes
   Time between readings  = 1440 minutes
   Logged Readings  =  
      Read 1 = 6879	Time: 4/4/2016 10:50 
      Read 2 = 6858	Time: 4/3/2016 10:50 
      Read 3 = 6852	Time: 4/2/2016 10:50 
      Read 4 = 6842	Time: 4/1/2016 10:50 
      Read 5 = 6834	Time: 3/31/2016 10:50 
      Read 6 = 6819	Time: 3/30/2016 10:50 
      Read 7 = 6809	Time: 3/29/2016 10:50 
      Read 8 = 6804	Time: 3/28/2016 10:50 
      Read 9 = 6796	Time: 3/27/2016 10:50 
      Read 10 = 6787	Time: 3/26/2016 10:50 
      Read 11 = 6781	Time: 3/25/2016 10:50 
      Read 12 = 6773	Time: 3/24/2016 10:50 
      Read 13 = 6762	Time: 3/23/2016 10:50 
      Read 14 = 6753	Time: 3/22/2016 10:50 
      Read 15 = 6730	Time: 3/21/2016 10:50 
      Read 16 = 6724	Time: 3/20/2016 10:50 
      Read 17 = 6724	Time: 3/19/2016 10:50 
      Read 18 = 6724	Time: 3/18/2016 10:50 
      Read 19 = 6724	Time: 3/17/2016 10:50 
      Read 20 = 6724	Time: 3/16/2016 10:50 
      Read 21 = 6716	Time: 3/15/2016 10:50 
      Read 22 = 6704	Time: 3/14/2016 10:50 
      Read 23 = 6694	Time: 3/13/2016 10:50 
      Read 24 = 6683	Time: 3/12/2016 10:50 
      Read 25 = 6671	Time: 3/11/2016 10:50 
      Read 26 = 6659	Time: 3/10/2016 10:50 
      Read 27 = 6645	Time: 3/9/2016 10:50 
      Read 28 = 6639	Time: 3/8/2016 10:50 
      Read 29 = 6631	Time: 3/7/2016 10:50 
      Read 30 = 6616	Time: 3/6/2016 10:50 
